source,destination,distance_km,blackspot_count,night_time,poor_streetlight,safety_level,via,accident_prone_area
Pattukkottai,Tiruchirappalli,167,8,0,0,Moderate Risk,Sivakasi → Thoothukudi,Thoothukudi
Tiruppur,Perambalur,222,4,1,1,Moderate Risk,Nagapattinam,None
Vellore,Pollachi,384,9,1,0,High Risk,Karaikudi,Karaikudi
Ariyalur,Nagapattinam,398,9,1,1,Safe,Avadi → Villupuram → Coimbatore,None
Ariyalur,Chennai,161,1,1,1,Safe,Erode,Erode
Pudukkottai,Chidambaram,276,7,0,1,Moderate Risk,Nagercoil,None
Thoothukudi,Nagapattinam,136,9,0,1,Moderate Risk,Salem,None
Pudukkottai,Tirunelveli,183,8,0,1,Safe,Erode → Thoothukudi,"Erode, Thoothukudi"
Pudukkottai,Karaikudi,75,1,0,1,High Risk,Erode → Tenkasi → Gobichettipalayam,"Erode, Tenkasi"
Nagapattinam,Karur,336,10,1,1,Moderate Risk,Sathyamangalam,None
Tambaram,Pattukkottai,395,6,0,0,Safe,Cuddalore,None
Tiruchirappalli,Avadi,90,6,0,1,High Risk,Namakkal → Chennai → Ambur,"Chennai, Ambur, Namakkal"
Sivakasi,Ramanathapuram,270,1,1,1,High Risk,Villupuram → Erode → Cuddalore,"Villupuram, Cuddalore"
Tenkasi,Tiruppur,349,8,1,1,Safe,Ariyalur → Tambaram → Sivakasi,None
Ambur,Tambaram,64,10,1,1,High Risk,Madurai → Thoothukudi,"Madurai, Thoothukudi"
Tambaram,Thanjavur,98,7,0,1,Moderate Risk,Tenkasi → Perambalur → Thoothukudi,"Tenkasi, Thoothukudi"
Coimbatore,Pattukkottai,251,2,0,1,Safe,Dharmapuri → Karur,None
Villupuram,Ariyalur,313,8,1,1,High Risk,Chennai,Chennai
Coimbatore,Thanjavur,336,7,1,1,High Risk,Pudukkottai → Karaikudi → Pattukkottai,Pattukkottai
Mettupalayam,Dindigul,234,7,1,0,Moderate Risk,Chennai → Nagapattinam,None
Chennai,Sivakasi,140,3,1,1,Moderate Risk,Ariyalur → Chidambaram,None
Nagercoil,Avadi,369,8,1,0,Safe,Tiruppur → Ramanathapuram → Ambur,"Tiruppur, Ramanathapuram"
Thoothukudi,Avadi,233,8,0,0,High Risk,Tambaram,None
Sathyamangalam,Karur,357,2,0,0,Safe,Coimbatore → Pudukkottai,Coimbatore
Dindigul,Kanchipuram,185,9,0,0,Safe,Sivakasi → Coimbatore,None
Perambalur,Tirunelveli,241,3,1,1,Safe,Karur,None
Thanjavur,Tiruchirappalli,363,3,1,0,High Risk,Sivakasi,Sivakasi
Villupuram,Pattukkottai,271,10,1,1,Safe,Tenkasi,None
Villupuram,Thanjavur,143,2,0,0,Moderate Risk,Pudukkottai,None
Ramanathapuram,Dharmapuri,290,9,0,1,Safe,Nagercoil → Mettupalayam → Kanchipuram,None
Tiruchirappalli,Coimbatore,121,7,1,0,High Risk,Tiruppur → Salem → Chennai,None
Tiruppur,Vellore,101,9,0,1,Moderate Risk,Pollachi → Tirunelveli → Tiruchirappalli,Pollachi
Thoothukudi,Pollachi,52,5,1,1,High Risk,Erode → Villupuram → Salem,Erode
Sivakasi,Dindigul,98,9,1,1,High Risk,Pudukkottai → Tambaram,None
Villupuram,Madurai,242,7,0,0,Moderate Risk,Chennai,None
Tiruchirappalli,Coimbatore,302,5,0,0,Moderate Risk,Madurai,Madurai
Coimbatore,Dindigul,365,6,1,1,Safe,Mettupalayam → Nagercoil → Nagapattinam,"Mettupalayam, Nagapattinam, Nagercoil"
Madurai,Tiruchirappalli,239,3,1,0,High Risk,Erode → Cuddalore → Dindigul,None
Villupuram,Tirunelveli,58,3,0,0,Moderate Risk,Nagercoil → Dindigul,"Nagercoil, Dindigul"
Tenkasi,Dharmapuri,251,10,0,1,Safe,Tiruppur,None
Gobichettipalayam,Chennai,179,7,1,0,Moderate Risk,Nagercoil → Ariyalur,Ariyalur
Thoothukudi,Pollachi,163,10,1,1,Moderate Risk,Dindigul,Dindigul
Namakkal,Nagercoil,345,8,1,0,High Risk,Mettupalayam → Salem → Thoothukudi,None
Salem,Sivakasi,331,7,0,0,Moderate Risk,Tambaram → Nagapattinam → Kanchipuram,None
Tenkasi,Pudukkottai,212,4,0,0,High Risk,Coimbatore → Karur → Nagapattinam,"Coimbatore, Nagapattinam, Karur"
Namakkal,Ariyalur,254,1,1,1,Moderate Risk,Chennai → Tirunelveli → Dindigul,None
Ambur,Vellore,59,5,0,1,Moderate Risk,Pudukkottai,None
Tiruppur,Avadi,332,1,1,1,High Risk,Nagercoil,Nagercoil
Vellore,Pudukkottai,374,10,1,1,Safe,Nagapattinam → Chennai,None
Perambalur,Avadi,294,10,0,0,Moderate Risk,Villupuram → Gobichettipalayam,None
Coimbatore,Pudukkottai,354,7,0,1,High Risk,Namakkal → Karur,Karur
Chidambaram,Mettupalayam,156,6,1,1,Moderate Risk,Pattukkottai,Pattukkottai
Avadi,Chidambaram,343,8,0,0,High Risk,Namakkal → Tiruppur → Dharmapuri,Namakkal
Sivakasi,Tenkasi,359,6,1,0,Moderate Risk,Thoothukudi → Chidambaram → Sathyamangalam,None
Salem,Thoothukudi,255,10,1,0,High Risk,Coimbatore → Chidambaram,None
Pollachi,Sivakasi,265,3,1,0,High Risk,Cuddalore,None
Tenkasi,Pudukkottai,249,3,0,1,Safe,Vellore → Pollachi,None
Nagercoil,Pattukkottai,370,10,1,0,High Risk,Avadi → Erode,None
Nagapattinam,Perambalur,174,10,1,1,Safe,Villupuram → Chennai → Vellore,None
Cuddalore,Gobichettipalayam,255,10,0,1,Moderate Risk,Pattukkottai → Villupuram,"Villupuram, Pattukkottai"
Mettupalayam,Perambalur,175,2,1,0,Moderate Risk,Tiruppur → Karaikudi,Karaikudi
Tiruchirappalli,Pollachi,131,6,0,1,High Risk,Mettupalayam → Thanjavur,None
Tambaram,Gobichettipalayam,76,3,0,0,Moderate Risk,Thanjavur → Perambalur,"Perambalur, Thanjavur"
Mettupalayam,Avadi,83,5,1,1,High Risk,Ambur,Ambur
Erode,Nagercoil,161,7,1,1,High Risk,Pattukkottai,None
Nagapattinam,Gobichettipalayam,246,4,0,0,Moderate Risk,Cuddalore,None
Tambaram,Dharmapuri,135,9,0,1,High Risk,Coimbatore → Villupuram → Pattukkottai,"Coimbatore, Pattukkottai, Villupuram"
Dharmapuri,Tenkasi,317,2,1,1,High Risk,Pudukkottai,Pudukkottai
Dharmapuri,Dindigul,342,8,0,0,Safe,Avadi,None
Villupuram,Nagercoil,223,4,1,1,High Risk,Salem → Gobichettipalayam → Ambur,None
Dindigul,Villupuram,314,7,0,1,Safe,Tirunelveli → Gobichettipalayam → Namakkal,None
Tenkasi,Dharmapuri,162,8,1,0,Safe,Namakkal,None
Ramanathapuram,Chennai,187,4,1,1,Safe,Pollachi → Pattukkottai,Pattukkottai
Tiruchirappalli,Tirunelveli,199,4,1,0,Safe,Gobichettipalayam → Coimbatore → Avadi,None
Thanjavur,Coimbatore,378,9,0,1,Moderate Risk,Tambaram → Ramanathapuram → Perambalur,"Tambaram, Ramanathapuram, Perambalur"
Salem,Ambur,258,6,0,0,High Risk,Vellore,None
Kanchipuram,Erode,103,4,1,1,Safe,Coimbatore → Perambalur,Coimbatore
Karaikudi,Salem,241,6,1,1,High Risk,Nagercoil,Nagercoil
Mettupalayam,Ramanathapuram,186,4,0,1,Safe,Tambaram,None
Thanjavur,Karur,391,4,1,1,High Risk,Pattukkottai → Madurai → Namakkal,None
Tambaram,Ramanathapuram,231,10,1,0,Safe,Tenkasi → Avadi → Dharmapuri,Tenkasi
Kanchipuram,Dindigul,267,4,1,1,Safe,Chidambaram,None
Tiruppur,Sivakasi,110,7,1,1,High Risk,Kanchipuram,None
Tambaram,Avadi,322,6,0,0,Safe,Vellore,None
Gobichettipalayam,Tambaram,233,9,1,0,Moderate Risk,Tiruchirappalli → Kanchipuram → Pollachi,"Tiruchirappalli, Kanchipuram"
Ramanathapuram,Tenkasi,244,10,0,1,Moderate Risk,Sivakasi,None
Pollachi,Salem,265,4,1,1,Safe,Namakkal → Perambalur,Perambalur
Gobichettipalayam,Sathyamangalam,89,3,0,1,Moderate Risk,Nagercoil,Nagercoil
Dindigul,Chennai,287,9,1,0,Moderate Risk,Avadi → Tenkasi → Sivakasi,"Avadi, Sivakasi"
Nagercoil,Kanchipuram,400,5,0,0,Moderate Risk,Sivakasi,Sivakasi
Mettupalayam,Sathyamangalam,329,3,1,0,Safe,Ramanathapuram,None
Vellore,Gobichettipalayam,362,1,1,1,Safe,Tenkasi,None
Villupuram,Sivakasi,140,7,1,1,Moderate Risk,Perambalur → Ambur,None
Sivakasi,Avadi,143,3,0,0,High Risk,Nagercoil → Kanchipuram → Erode,None
Nagercoil,Mettupalayam,77,4,0,0,High Risk,Cuddalore → Tambaram → Pudukkottai,"Pudukkottai, Cuddalore, Tambaram"
Nagapattinam,Sivakasi,170,2,1,1,Moderate Risk,Namakkal → Dharmapuri,Namakkal
Nagercoil,Chennai,312,1,0,1,Safe,Perambalur,None
Karaikudi,Dindigul,154,10,1,1,High Risk,Tiruppur,Tiruppur
Erode,Ambur,152,1,1,1,Moderate Risk,Sathyamangalam → Villupuram,Villupuram
Gobichettipalayam,Erode,323,3,1,1,High Risk,Salem → Thanjavur,None
Karur,Sathyamangalam,299,8,1,0,Moderate Risk,Nagercoil,None
Sivakasi,Ambur,373,2,1,0,High Risk,Avadi,None
Villupuram,Avadi,389,7,1,1,High Risk,Karaikudi → Perambalur,None
Pollachi,Pattukkottai,312,4,1,1,Safe,Mettupalayam → Coimbatore → Gobichettipalayam,None
Ramanathapuram,Tenkasi,91,6,0,0,High Risk,Salem → Tiruppur → Thoothukudi,"Tiruppur, Salem, Thoothukudi"
Avadi,Tambaram,300,9,1,0,High Risk,Chennai,None
Vellore,Avadi,273,3,0,1,Safe,Karur → Thoothukudi → Cuddalore,"Karur, Thoothukudi, Cuddalore"
Cuddalore,Thoothukudi,373,3,1,1,Moderate Risk,Thanjavur,None
Chennai,Ramanathapuram,326,9,0,1,Safe,Thoothukudi → Madurai → Tiruchirappalli,None
Nagercoil,Avadi,287,10,1,0,Moderate Risk,Gobichettipalayam → Mettupalayam,None
Nagapattinam,Salem,168,4,0,1,High Risk,Thanjavur → Cuddalore → Ambur,"Thanjavur, Cuddalore, Ambur"
Pudukkottai,Pollachi,398,8,1,0,Moderate Risk,Chennai → Karur,None
Vellore,Nagercoil,329,5,1,0,Moderate Risk,Salem → Nagapattinam,Nagapattinam
Cuddalore,Namakkal,90,4,1,1,High Risk,Erode → Nagapattinam → Karaikudi,"Karaikudi, Erode, Nagapattinam"
Gobichettipalayam,Vellore,273,3,0,1,Moderate Risk,Avadi → Thoothukudi → Tenkasi,Tenkasi
Tiruchirappalli,Sivakasi,92,1,0,0,Safe,Salem → Thoothukudi → Tambaram,None
Avadi,Tambaram,185,4,0,1,Safe,Salem → Dharmapuri → Kanchipuram,"Kanchipuram, Dharmapuri, Salem"
Nagapattinam,Mettupalayam,146,5,1,1,Safe,Tiruppur → Avadi → Perambalur,None
Cuddalore,Ariyalur,371,2,0,1,Safe,Sathyamangalam → Namakkal,None
Cuddalore,Dindigul,82,9,1,0,Safe,Sathyamangalam,None
Dharmapuri,Nagercoil,252,3,0,1,Safe,Kanchipuram → Mettupalayam,"Kanchipuram, Mettupalayam"
Salem,Avadi,124,1,0,1,High Risk,Kanchipuram,Kanchipuram
Pattukkottai,Karur,168,5,1,0,High Risk,Chennai → Sivakasi → Ramanathapuram,None
Madurai,Salem,287,9,0,1,High Risk,Nagapattinam,None
Ramanathapuram,Mettupalayam,138,9,1,1,Moderate Risk,Tambaram → Pollachi,None
Chennai,Erode,197,10,1,1,Safe,Chidambaram → Sivakasi,"Chidambaram, Sivakasi"
Pudukkottai,Erode,384,3,1,0,High Risk,Villupuram → Thanjavur,Villupuram
Coimbatore,Nagercoil,156,4,1,1,Moderate Risk,Chennai,Chennai
Villupuram,Vellore,159,6,1,1,High Risk,Tenkasi → Mettupalayam,None
Madurai,Thoothukudi,186,4,0,0,High Risk,Thanjavur,None
Madurai,Salem,353,10,1,1,Safe,Gobichettipalayam → Thoothukudi → Chennai,"Chennai, Gobichettipalayam"
Vellore,Ramanathapuram,267,5,1,1,High Risk,Dindigul → Pudukkottai → Perambalur,None
Pudukkottai,Villupuram,304,3,0,1,Safe,Ramanathapuram → Chidambaram,None
Dharmapuri,Kanchipuram,340,7,0,0,Moderate Risk,Mettupalayam → Cuddalore → Avadi,"Cuddalore, Mettupalayam, Avadi"
Avadi,Tiruchirappalli,283,9,0,1,Safe,Dindigul,Dindigul
Nagapattinam,Ariyalur,313,5,0,0,Safe,Thanjavur,None
Cuddalore,Coimbatore,57,7,1,1,Safe,Tambaram → Vellore,"Vellore, Tambaram"
Coimbatore,Sathyamangalam,166,5,0,0,High Risk,Nagercoil → Madurai,None
Chidambaram,Perambalur,66,3,0,1,Moderate Risk,Ariyalur,None
Sivakasi,Coimbatore,253,4,0,0,High Risk,Salem → Dharmapuri → Perambalur,None
Madurai,Erode,251,5,1,1,Moderate Risk,Ambur,None
Pudukkottai,Sathyamangalam,284,4,1,1,High Risk,Namakkal → Erode → Kanchipuram,None
Tiruppur,Thanjavur,265,5,0,0,Safe,Chidambaram → Madurai,None
Coimbatore,Gobichettipalayam,111,7,1,1,Moderate Risk,Tirunelveli,None
Dindigul,Tiruchirappalli,99,7,1,0,High Risk,Kanchipuram → Tambaram,Kanchipuram
Perambalur,Pudukkottai,125,9,0,0,Safe,Chidambaram,None
Nagercoil,Nagapattinam,93,3,0,1,Safe,Sivakasi → Cuddalore → Chennai,Sivakasi
Perambalur,Thanjavur,298,3,1,1,Moderate Risk,Sivakasi,None
Ariyalur,Thanjavur,141,10,0,1,High Risk,Sathyamangalam,Sathyamangalam
Karaikudi,Pollachi,116,3,1,0,High Risk,Thanjavur,None
Madurai,Namakkal,256,7,1,0,Safe,Erode,None
Dindigul,Villupuram,136,5,1,1,Moderate Risk,Pollachi → Sathyamangalam,None
Ariyalur,Karaikudi,131,3,1,1,Moderate Risk,Villupuram → Pollachi → Pudukkottai,"Pudukkottai, Pollachi"
Ambur,Perambalur,398,3,1,1,High Risk,Salem → Chidambaram → Thoothukudi,None
Tenkasi,Tiruchirappalli,113,7,0,0,Moderate Risk,Pudukkottai,None
Tiruppur,Erode,113,3,1,0,High Risk,Kanchipuram,None
Villupuram,Karur,263,10,1,0,Safe,Sathyamangalam → Ramanathapuram,"Ramanathapuram, Sathyamangalam"
Tenkasi,Coimbatore,197,10,1,1,High Risk,Karur → Karaikudi,None
Vellore,Karur,232,2,0,1,Safe,Ambur,Ambur
Chidambaram,Mettupalayam,160,10,0,1,High Risk,Pollachi → Coimbatore,None
Thoothukudi,Kanchipuram,394,3,1,1,Safe,Ramanathapuram → Dharmapuri → Cuddalore,"Cuddalore, Ramanathapuram, Dharmapuri"
Erode,Ramanathapuram,86,5,1,0,Safe,Dharmapuri → Thoothukudi → Cuddalore,"Thoothukudi, Cuddalore, Dharmapuri"
Perambalur,Salem,364,10,1,0,Moderate Risk,Chidambaram → Cuddalore → Dindigul,"Chidambaram, Dindigul"
Avadi,Ramanathapuram,366,4,1,1,Moderate Risk,Salem → Chidambaram,None
Pattukkottai,Pollachi,327,1,1,1,Safe,Erode → Salem → Namakkal,None
Nagapattinam,Perambalur,225,10,1,1,Moderate Risk,Cuddalore → Tambaram → Avadi,None
Gobichettipalayam,Thoothukudi,287,2,1,1,Safe,Chennai → Vellore → Nagercoil,None
Gobichettipalayam,Perambalur,100,9,1,1,High Risk,Vellore → Tenkasi → Thoothukudi,None
Tiruchirappalli,Sathyamangalam,128,7,0,1,Safe,Karur → Vellore,None
Tiruchirappalli,Villupuram,205,10,1,1,Moderate Risk,Sathyamangalam → Ariyalur,None
Mettupalayam,Nagapattinam,168,10,1,1,Moderate Risk,Madurai,None
Madurai,Tiruppur,343,2,1,1,High Risk,Pattukkottai → Avadi,"Pattukkottai, Avadi"
Kanchipuram,Erode,322,1,0,0,High Risk,Pollachi → Ambur → Gobichettipalayam,Ambur
Tirunelveli,Sivakasi,321,7,1,0,Moderate Risk,Ramanathapuram → Vellore → Tambaram,"Tambaram, Vellore"
Villupuram,Erode,139,2,0,0,Moderate Risk,Karaikudi → Gobichettipalayam,"Gobichettipalayam, Karaikudi"
Ariyalur,Ambur,378,6,1,0,Moderate Risk,Gobichettipalayam,None
Chennai,Thoothukudi,54,10,1,0,Safe,Kanchipuram → Cuddalore,None
Mettupalayam,Tambaram,117,4,0,0,High Risk,Villupuram,Villupuram
Ambur,Gobichettipalayam,135,4,1,1,Safe,Karur → Tirunelveli → Ramanathapuram,None
Perambalur,Tambaram,64,10,0,0,Safe,Erode → Pudukkottai,None
Tirunelveli,Sathyamangalam,150,7,0,0,Safe,Ariyalur,None
Coimbatore,Namakkal,89,1,0,0,Safe,Tambaram → Ramanathapuram → Avadi,Avadi
Pudukkottai,Cuddalore,150,2,0,0,Safe,Tiruppur,None
Cuddalore,Dindigul,205,2,1,0,Safe,Perambalur,Perambalur
Chennai,Thoothukudi,94,1,0,1,Moderate Risk,Kanchipuram,None
Nagapattinam,Cuddalore,208,6,1,0,High Risk,Sathyamangalam → Dharmapuri → Tiruchirappalli,None
Chidambaram,Thanjavur,386,9,1,1,Moderate Risk,Tiruppur → Ramanathapuram → Pollachi,Ramanathapuram
Cuddalore,Avadi,164,1,0,1,Moderate Risk,Karur,None
Ambur,Namakkal,268,2,1,1,Safe,Tiruchirappalli → Ramanathapuram,"Tiruchirappalli, Ramanathapuram"
Ambur,Thanjavur,78,3,0,1,Moderate Risk,Madurai,None
Mettupalayam,Namakkal,363,5,0,1,Safe,Pattukkottai → Vellore,None
Pudukkottai,Dindigul,105,6,1,0,Moderate Risk,Namakkal → Villupuram → Tiruppur,Villupuram
Nagercoil,Dharmapuri,208,10,1,0,High Risk,Cuddalore → Pudukkottai,Cuddalore
Coimbatore,Ramanathapuram,123,4,1,1,High Risk,Madurai → Tiruchirappalli → Chennai,"Chennai, Madurai"
Dharmapuri,Nagercoil,294,9,0,1,Safe,Pattukkottai,None
Salem,Namakkal,60,6,1,1,Moderate Risk,Nagapattinam,None
Kanchipuram,Perambalur,51,3,1,1,Safe,Chidambaram → Namakkal → Nagapattinam,"Chidambaram, Namakkal, Nagapattinam"
Ariyalur,Thanjavur,106,8,1,1,Safe,Pudukkottai → Tenkasi → Avadi,None
Ramanathapuram,Tenkasi,189,5,0,1,Safe,Salem → Karur → Tiruchirappalli,"Tiruchirappalli, Karur, Salem"
Sathyamangalam,Ramanathapuram,177,4,1,1,Safe,Vellore,None
Nagapattinam,Tenkasi,309,2,0,0,Moderate Risk,Ramanathapuram → Nagercoil → Ambur,None
Dindigul,Gobichettipalayam,356,10,0,0,Moderate Risk,Villupuram,None
Ramanathapuram,Sivakasi,257,9,0,1,High Risk,Coimbatore → Tenkasi → Cuddalore,Coimbatore
Thoothukudi,Perambalur,208,1,0,0,Moderate Risk,Chidambaram → Namakkal,None
Ramanathapuram,Kanchipuram,313,8,0,0,Safe,Mettupalayam → Ambur → Perambalur,"Perambalur, Ambur, Mettupalayam"
Kanchipuram,Tirunelveli,148,10,0,1,Moderate Risk,Mettupalayam → Dharmapuri,"Dharmapuri, Mettupalayam"
Ambur,Cuddalore,77,2,0,1,High Risk,Vellore → Pollachi → Villupuram,"Vellore, Villupuram"
Chennai,Villupuram,239,8,0,1,Safe,Vellore → Karaikudi,"Karaikudi, Vellore"
Gobichettipalayam,Chennai,245,6,0,0,High Risk,Cuddalore,None
Tiruchirappalli,Dharmapuri,336,6,1,1,Moderate Risk,Nagapattinam → Avadi → Gobichettipalayam,None
Karur,Ramanathapuram,311,10,0,1,High Risk,Perambalur → Vellore,None
Dharmapuri,Tirunelveli,254,5,0,1,High Risk,Salem → Sathyamangalam → Avadi,Sathyamangalam
Villupuram,Erode,138,8,1,1,High Risk,Sivakasi → Nagapattinam → Sathyamangalam,"Sathyamangalam, Sivakasi"
Pollachi,Perambalur,215,5,1,1,Moderate Risk,Tambaram → Karur → Dindigul,"Tambaram, Dindigul"
Ramanathapuram,Ambur,121,1,1,0,Moderate Risk,Perambalur → Villupuram,None
Pudukkottai,Tenkasi,371,6,0,1,High Risk,Tiruchirappalli → Sivakasi,None
Ramanathapuram,Tambaram,171,8,0,0,High Risk,Salem → Pollachi,None
Mettupalayam,Dindigul,62,5,1,1,Safe,Tenkasi → Coimbatore,None
Ariyalur,Tirunelveli,277,8,0,0,High Risk,Nagapattinam → Perambalur,None
Pudukkottai,Madurai,100,5,1,0,Safe,Salem → Nagapattinam → Vellore,None
Pattukkottai,Karaikudi,176,4,1,0,Moderate Risk,Mettupalayam,None
